id,n_vulns,vulns,total_cvss,max_cvss,site,Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
0,0,set(),0,0,18F.GOV,18F.GOV,Federal Agency - Executive,General Services Administration,18F,Washington,DC,tts-vulnerability-reports@gsa.gov
1,0,set(),0,0,2020CENSUS.GOV,2020CENSUS.GOV,Federal Agency - Executive,Department of Commerce,U.S. Census Bureau,Suitland,MD,(blank)
2,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,29PALMSBOMI-NSN.GOV,29PALMSBOMI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Twenty-Nine Palms Band of Mission Indians,Coachella,CA,(blank)
3,0,set(),0,0,29PALMSGAMING-NSN.GOV,29PALMSGAMING-NSN.GOV,Native Sovereign Nation,Indian Affairs,Twenty-Nine Palms Band of Mission Indians,Coachella,CA,(blank)
4,0,set(),0,0,511WI.GOV,511WI.GOV,State/Local Govt,Non-Federal Agency,Wisconsin Department of Transportation,Madison,WI,(blank)
5,24,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",121.9,7.5,9-11COMMISSION.GOV,9-11COMMISSION.GOV,Federal Agency - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,(blank)
6,0,set(),0,0,911.GOV,911.GOV,Federal Agency - Executive,Department of Transportation,National Highway Traffic Safety Administration,Washington,DC,(blank)
7,24,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",121.9,7.5,911COMMISSION.GOV,911COMMISSION.GOV,Federal Agency - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,(blank)
8,149,"{'CVE-2018-5712', 'CVE-2018-1333', 'CVE-2016-7570', 'CVE-2016-7126', 'CVE-2016-5768', 'CVE-2016-4541', 'CVE-2016-8612', 'CVE-2019-9641', 'CVE-2016-9137', 'CVE-2016-4537', 'CVE-2017-5340', 'CVE-2018-7584', 'CVE-2019-9020', 'CVE-2015-0253', 'CVE-2016-9450', 'CVE-2017-15710', 'CVE-2016-7131', 'CVE-2019-9021', 'CVE-2016-10397', 'CVE-2017-6924', 'CVE-2016-7132', 'CVE-2017-11142', 'CVE-2017-6929', 'CVE-2016-4544', 'CVE-2018-15132', 'CVE-2016-7128', 'CVE-2017-6379', 'CVE-2017-11147', 'CVE-2018-14851', 'CVE-2019-9637', 'CVE-2017-9798', 'CVE-2016-6292', 'CVE-2013-7456', 'CVE-2016-8670', 'CVE-2016-4540', 'CVE-2016-5773', 'CVE-2016-6295', 'CVE-2018-10545', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2018-10547', 'CVE-2016-7412', 'CVE-2017-7890', 'CVE-2016-6297', 'CVE-2016-4542', 'CVE-2016-7124', 'CVE-2017-6377', 'CVE-2016-7129', 'CVE-2019-0211', 'CVE-2016-7414', 'CVE-2016-10160', 'CVE-2019-9022', 'CVE-2016-4539', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2016-5772', 'CVE-2016-6290', 'CVE-2016-7130', 'CVE-2016-3132', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2019-9024', 'CVE-2016-8740', 'CVE-2017-6921', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-10548', 'CVE-2016-7571', 'CVE-2018-1283', 'CVE-2016-10161', 'CVE-2017-11628', 'CVE-2016-0736', 'CVE-2017-12933', 'CVE-2017-6919', 'CVE-2016-8743', 'CVE-2018-20783', 'CVE-2016-7416', 'CVE-2016-9933', 'CVE-2016-7134', 'CVE-2017-3167', 'CVE-2016-7479', 'CVE-2016-5766', 'CVE-2016-5399', 'CVE-2016-7478', 'CVE-2016-7125', 'CVE-2017-9120', 'CVE-2015-8994', 'CVE-2018-7600', 'CVE-2018-14884', 'CVE-2016-6296', 'CVE-2016-7568', 'CVE-2016-7413', 'CVE-2016-10158', 'CVE-2017-6920', 'CVE-2016-6294', 'CVE-2017-11145', 'CVE-2017-6923', 'CVE-2016-7133', 'CVE-2019-6977', 'CVE-2016-6212', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2016-3078', 'CVE-2017-6381', 'CVE-2019-9638', 'CVE-2018-11763', 'CVE-2018-14883', 'CVE-2017-7668', 'CVE-2016-4979', 'CVE-2016-1546', 'CVE-2016-5767', 'CVE-2016-7572', 'CVE-2015-0228', 'CVE-2019-9023', 'CVE-2017-9788', 'CVE-2018-17082', 'CVE-2016-7417', 'CVE-2017-11362', 'CVE-2017-12934', 'CVE-2017-6922', 'CVE-2016-7418', 'CVE-2016-9449', 'CVE-2016-6291', 'CVE-2016-4538', 'CVE-2018-1312', 'CVE-2016-5769', 'CVE-2018-10549', 'CVE-2016-7127', 'CVE-2017-11144', 'CVE-2016-10159', 'CVE-2016-9452', 'CVE-2016-6289', 'CVE-2018-9861', 'CVE-2019-9675', 'CVE-2016-5093', 'CVE-2017-6925', 'CVE-2018-19518', 'CVE-2016-10162', 'CVE-2016-9936', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-9935', 'CVE-2016-9934', 'CVE-2016-4543', 'CVE-2017-3169', 'CVE-2017-12932', 'CVE-2016-9138', 'CVE-2018-5711'}",902,8.5,ABANDONEDMINES.GOV,ABANDONEDMINES.GOV,Federal Agency - Executive,Department of the Interior,Bureau of Land Management,Washington,DC,(blank)
9,0,set(),0,0,ABERDEENMD.GOV,ABERDEENMD.GOV,City,Non-Federal Agency,City of Aberdeen,Aberdeen,MD,(blank)
10,3,"{'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2018-15473'}",15,5,ABERDEENWA.GOV,ABERDEENWA.GOV,City,Non-Federal Agency,City of Aberdeen,Aberdeen,WA,(blank)
11,0,set(),0,0,ABILENETX.GOV,ABILENETX.GOV,City,Non-Federal Agency,City of Abilene,Abilene,TX,(blank)
12,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,ABILITYONE.GOV,ABILITYONE.GOV,Federal Agency - Executive,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Arlington,VA,(blank)
13,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,ABINGDON-VA.GOV,ABINGDON-VA.GOV,City,Non-Federal Agency,Town of Abingdon,Abingdon,VA,(blank)
14,0,set(),0,0,ABINGTONMA.GOV,ABINGTONMA.GOV,City,Non-Federal Agency,Town of Abington,Abington,MA,wnorling@abingtonma.gov
15,0,set(),0,0,ABINGTONPA.GOV,ABINGTONPA.GOV,City,Non-Federal Agency,Abington Township,Abington,PA,(blank)
16,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,ABLETN.GOV,ABLETN.GOV,State/Local Govt,Non-Federal Agency,Office for Information Resources,Nashville,TN,(blank)
17,107,"{'CVE-2011-1153', 'CVE-2010-4645', 'CVE-2010-4698', 'CVE-2012-1172', 'CVE-2011-1938', 'CVE-2019-6341', 'CVE-2019-9641', 'CVE-2013-4635', 'CVE-2012-1823', 'CVE-2017-15906', 'CVE-2011-2202', 'CVE-2019-9020', 'CVE-2018-15473', 'CVE-2014-0237', 'CVE-2010-4478', 'CVE-2010-3710', 'CVE-2013-1635', 'CVE-2019-9021', 'CVE-2010-3870', 'CVE-2012-3450', 'CVE-2012-0814', 'CVE-2013-6420', 'CVE-2011-1466', 'CVE-2012-3365', 'CVE-2011-3182', 'CVE-2016-10708', 'CVE-2012-1171', 'CVE-2018-15132', 'CVE-2016-0777', 'CVE-2019-9637', 'CVE-2019-6339', 'CVE-2014-9427', 'CVE-2010-4699', 'CVE-2013-2110', 'CVE-2011-3268', 'CVE-2012-2311', 'CVE-2013-1824', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2010-4409', 'CVE-2012-2386', 'CVE-2011-4718', 'CVE-2018-10547', 'CVE-2011-1464', 'CVE-2010-3436', 'CVE-2013-4248', 'CVE-2019-6338', 'CVE-2012-2688', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2019-9024', 'CVE-2018-19396', 'CVE-2019-9639', 'CVE-2011-2483', 'CVE-2018-10548', 'CVE-2011-1471', 'CVE-2011-1092', 'CVE-2018-20783', 'CVE-2010-4150', 'CVE-2016-7478', 'CVE-2011-0708', 'CVE-2014-2497', 'CVE-2015-8994', 'CVE-2011-0753', 'CVE-2010-2950', 'CVE-2011-0754', 'CVE-2019-6977', 'CVE-2013-4113', 'CVE-2019-9638', 'CVE-2013-1643', 'CVE-2014-1692', 'CVE-2014-5459', 'CVE-2018-14883', 'CVE-2010-4700', 'CVE-2010-4755', 'CVE-2017-9067', 'CVE-2012-0831', 'CVE-2012-2376', 'CVE-2012-2143', 'CVE-2012-2336', 'CVE-2010-4697', 'CVE-2010-3709', 'CVE-2011-3267', 'CVE-2011-4885', 'CVE-2011-1398', 'CVE-2019-9023', 'CVE-2014-0238', 'CVE-2018-17082', 'CVE-2011-1148', 'CVE-2012-0057', 'CVE-2006-7243', 'CVE-2011-1469', 'CVE-2011-0755', 'CVE-2011-0421', 'CVE-2011-1467', 'CVE-2014-4721', 'CVE-2018-10549', 'CVE-2012-0788', 'CVE-2011-1468', 'CVE-2010-4156', 'CVE-2011-1470', 'CVE-2012-0789', 'CVE-2011-5000', 'CVE-2011-4327', 'CVE-2010-5107'}",589.8,10,ABMC.GOV,ABMC.GOV,Federal Agency - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov
18,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,ABSECONNJ.GOV,ABSECONNJ.GOV,City,Non-Federal Agency,City of Absecon,Absecon,NJ,(blank)
19,19,"{'CVE-2017-3167', 'CVE-2016-4979', 'CVE-2017-15715', 'CVE-2017-15710', 'CVE-2018-1283', 'CVE-2016-1546', 'CVE-2018-1333', 'CVE-2017-9798', 'CVE-2018-1312', 'CVE-2016-8743', 'CVE-2018-17199', 'CVE-2016-4975', 'CVE-2017-3169', 'CVE-2018-11763', 'CVE-2017-7679', 'CVE-2016-8612', 'CVE-2017-9788', 'CVE-2016-8740', 'CVE-2017-7668'}",104.7,7.5,ABSENTEESHAWNEETRIBE-NSN.GOV,ABSENTEESHAWNEETRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Absentee Shawnee Tribe of Indians of Oklahoma,Shawnee,OK,(blank)
20,20,"{'CVE-2017-3167', 'CVE-2014-3583', 'CVE-2017-15715', 'CVE-2017-15710', 'CVE-2018-1283', 'CVE-2017-9798', 'CVE-2018-1312', 'CVE-2016-8743', 'CVE-2015-3185', 'CVE-2015-3184', 'CVE-2016-4975', 'CVE-2016-0736', 'CVE-2018-17199', 'CVE-2017-3169', 'CVE-2017-7679', 'CVE-2016-8612', 'CVE-2017-9788', 'CVE-2017-7668', 'CVE-2016-2161', 'CVE-2014-8109'}",109.7,7.5,ACCESS-BOARD.GOV,ACCESS-BOARD.GOV,Federal Agency - Executive,United States Access Board,U.S Access Board,Washington,DC,(blank)
21,8,"{'CVE-2010-3972', 'CVE-2019-6338', 'CVE-2019-6339', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2019-6341', 'CVE-2010-1256', 'CVE-2010-2730'}",51.2,10,ACCESSIBILITY.GOV,ACCESSIBILITY.GOV,Federal Agency - Executive,General Services Administration,General Services Administration,Washington,DC,(blank)
22,2,"{'CVE-2018-15919', 'CVE-2017-15906'}",10,5,ACF.GOV,ACF.GOV,Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,Washington,DC,(blank)
23,2,"{'CVE-2019-6340', 'CVE-2019-6341'}",10.3,6.8,ACHP.GOV,ACHP.GOV,Federal Agency - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,(blank)
24,0,set(),0,0,ACL.GOV,ACL.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,(blank)
25,3,"{'CVE-2019-6338', 'CVE-2019-6339', 'CVE-2019-6341'}",17,7.5,ACQUISITION.GOV,ACQUISITION.GOV,Federal Agency - Executive,General Services Administration,Integrated Acquisition Environment,Arlington,VA,(blank)
26,0,set(),0,0,ACTIONPLANFOROREGON.GOV,ACTIONPLANFOROREGON.GOV,State/Local Govt,Non-Federal Agency,Office of Governor Kate Brown,Salem,OR,(blank)
27,0,set(),0,0,ACTON-MA.GOV,ACTON-MA.GOV,City,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,(blank)
28,0,set(),0,0,ACTONMA.GOV,ACTONMA.GOV,City,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,(blank)
29,0,set(),0,0,ACUS.GOV,ACUS.GOV,Federal Agency - Executive,Administrative Conference of the United States,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,Washington,DC,(blank)
30,0,set(),0,0,ACWI.GOV,ACWI.GOV,Federal Agency - Executive,Department of the Interior,Advisory Committee on Water Information,Reston,VA,(blank)
31,2,"{'MS15-034', 'CVE-2015-1635'}",20,10,ADAMN.GOV,ADAMN.GOV,City,Non-Federal Agency,City Of Ada,Ada,MN,(blank)
32,14,"{'CVE-2017-15715', 'CVE-2019-6338', 'CVE-2018-1333', 'CVE-2018-1283', 'CVE-2019-6339', 'CVE-2019-0211', 'CVE-2018-1302', 'CVE-2018-1312', 'CVE-2018-17199', 'CVE-2018-1303', 'CVE-2018-1301', 'CVE-2018-11763', 'CVE-2019-6341', 'CVE-2017-15710'}",74.2,7.5,ADAMSCOUNTYMS.GOV,ADAMSCOUNTYMS.GOV,County,Non-Federal Agency,Adams County Board of Supervisors,Natchez,MS,(blank)
33,34,"{'CVE-2017-3167', 'CVE-2019-9637', 'CVE-2016-7478', 'CVE-2015-8994', 'CVE-2016-8612', 'CVE-2019-9641', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2016-4975', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2017-7679', 'CVE-2018-10547', 'CVE-2015-8838', 'CVE-2019-9021', 'CVE-2015-5589', 'CVE-2019-9638', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2017-7668', 'CVE-2018-10548', 'CVE-2017-3169', 'CVE-2015-5590', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",201.8,10,ADAMSCOUNTYOH.GOV,ADAMSCOUNTYOH.GOV,County,Non-Federal Agency,Adams County Commissioners,West Union,OH,(blank)
34,0,set(),0,0,ADDISONTX.GOV,ADDISONTX.GOV,City,Non-Federal Agency,Town Of Addison,Addison,TX,(blank)
35,0,set(),0,0,ADELANTOCA.GOV,ADELANTOCA.GOV,City,Non-Federal Agency,City of Adelanto,Adelanto,CA,(blank)
36,0,set(),0,0,ADF.GOV,ADF.GOV,Federal Agency - Executive,United States African Development Foundation,African Development Foundation,Washington,DC,schi@usadf.gov
37,0,set(),0,0,ADLNET.GOV,ADLNET.GOV,Federal Agency - Executive,Department of Defense,Advanced Distributed Learning Initiative,Washington,DC,cybersecurity@adlnet.gov
38,0,set(),0,0,ADMONGO.GOV,ADMONGO.GOV,Federal Agency - Executive,Federal Trade Commission,Federal Trade Commission,Washington,DC,(blank)
39,0,set(),0,0,ADRCNJ.GOV,ADRCNJ.GOV,State/Local Govt,Non-Federal Agency," NJ Department of Human Services, DoAS",Mercerville,NJ,(blank)
40,0,set(),0,0,ADRIANMI.GOV,ADRIANMI.GOV,City,Non-Federal Agency,City of Adrian,Adrian,MI,(blank)
41,0,set(),0,0,AFADVANTAGE.GOV,AFADVANTAGE.GOV,Federal Agency - Executive,General Services Administration,US General Services Administration,Washington,DC,(blank)
